company,domain,story_url
Intercom,intercom.com,https://blog.apify.com/intercom-customer-support-ai-chatbot-web-scraping/
Mindvalley,mindvalley.com,https://blog.apify.com/how-mindvalley-predicts-high-performing-video-ads-with-apify/
Maven AGI,mavenagi.com,https://blog.apify.com/maven-agi-customer-support-case-study/
Cleevio,cleevio.com,https://blog.apify.com/turning-code-into-cash-with-apify/
Chefclub,chefclub.tv,https://blog.apify.com/recipe-ideas-instagram-scraping-with-apify/
My AskAI,myaskai.com,https://blog.apify.com/how-myaskai-achieved-98-scraping-success/
1SecondCopy,1secondcopy.com,https://blog.apify.com/scale-email-marketing-and-lead-generation/
Acai Travel,acaitravel.com,https://blog.apify.com/acai-travel-and-apify/
Deecoob,deecoob.com,https://blog.apify.com/harmonizing-data-with-decoob-and-apify/
Itrinity,itrinity.com,https://blog.apify.com/how-web-scraping-helps-an-it-company-eat-better/
Woflow,woflow.com,https://blog.apify.com/woflow-realtime-merchant-data/
RootWise,rootwise.io,https://blog.apify.com/rootwise-sharpening-social-intelligence-with-apify/
